Country,total_cases,total_deaths,latitude,longitude,Population,Density(P/KMsq),Land_Area
Uganda,179413540.0,3801083.0,1.373333,32.290275,48582334.0,243.0,199810.0
Ukraine,5444554847.0,112567027.0,48.379433,31.16558,36744634.0,63.0,579320.0
United Arab Emirates,1122625860.0,2760461.0,23.424076,53.847818,9516871.0,114.0,83600.0
United Kingdom,23021744756.0,261355366.0,55.378051,-3.435973,67736802.0,280.0,241930.0
United States,98673905427.0,1218863185.0,37.09024,-95.712891,339996563.0,37.0,9147420.0
United States Virgin Islands,21873432.0,128974.0,18.335765,-64.896335,,,
Uruguay,955851648.0,7991521.0,-32.522779,-55.765835,3423108.0,20.0,175020.0
Uzbekistan,162130469.0,990172.0,41.377491,64.585262,35163944.0,83.0,425400.0
Vanuatu,9086560.0,10759.0,-15.376706,166.959158,334506.0,27.0,12190.0
Vatican,36524.0,,41.902916,12.453389,,,
Venezuela,583892074.0,6302055.0,6.42375,-66.58973,28838499.0,33.0,882050.0
Vietnam,9435139451.0,40259697.0,14.058324,108.277199,98858950.0,319.0,310070.0
Wales,,,52.130661,-3.783712,,,
Wallis and Futuna,2365350.0,8094.0,-13.768752,-177.156097,,,
Western Sahara,,,24.215527,-12.885834,587259.0,2.0,266000.0
Yemen,13137134.0,2465452.0,15.552727,48.516388,34449825.0,65.0,527970.0
Zambia,349153234.0,4421391.0,-13.133897,27.849332,20569737.0,28.0,743390.0
Zimbabwe,257453691.0,5978413.0,-19.015438,29.154857,16665409.0,43.0,386850.0
Micronesia,,,7.4256,150.5508,544321.0,778.0,700.0
Timor-Leste,,,-8.874217,125.727539,1360596.0,91.0,14870.0
DR Congo,,,,,102262808.0,45.0,2267050.0
Côte d'Ivoire,,,,,28873034.0,91.0,318000.0
Czech Republic (Czechia),,,,,10495295.0,136.0,77240.0
State of Palestine,,,,,5371230.0,892.0,6020.0
Réunion,,,,,981796.0,393.0,2500.0
Cabo Verde,,,,,598682.0,149.0,4030.0
Brunei ,,,,,452524.0,86.0,5270.0
Sao Tome & Principe,,,,,231856.0,242.0,960.0
